authors,title,year,scholar_link
"(2) S Appiah-Boateng, KN Bukari",Coping strategies for victims of farmer–herder conflicts in Ghana.,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=HksiiCIAAAAJ&pagesize=100&citation_for_view=HksiiCIAAAAJ:L8Ckcad2t8MC
"(2) JS Boateng, MSB Mensah, I Kosi, S Appiah-Boateng, MB Osei",Digitalization of Business Operations and Empowerment of Female Entrepreneurs,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ggZAf2oAAAAJ&pagesize=100&citation_for_view=ggZAf2oAAAAJ:hqOjcs7Dif8C
"(1) JS Boateng, MSB Mensah, I Kosi, S Appiah-Boateng, MB Osei",Digitalization of Business Operations and Empowerment of Female Entrepreneurs,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=UmlU7UwAAAAJ&pagesize=100&citation_for_view=UmlU7UwAAAAJ:_FxGoFyzp5QC
"(2) O Boampong, S Appiah-Boateng, NY Osei, R Ametefe",Commercial Surrogacy: Invisible Reproductive Workers in Ghana,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4G6ibQgAAAAJ&pagesize=100&citation_for_view=4G6ibQgAAAAJ:Y0pCki6q_DkC
"(1) P Osei-Kufuor, KN Bukari, R Ametefe, S Appiah-Boateng, A Quarshie",We know what we do”: An agency-structure analysis of political vigilantism in Ghana.,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QahcUIkAAAAJ&pagesize=100&citation_for_view=QahcUIkAAAAJ:HoB7MX3m0LUC
"(3) P Osei-Kufuor, R Ametefe, S Appiah-Boateng, KN Bukari, A Quarshie",“We know what we do”: an agency-structure analysis of political vigilantism in Ghana,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QahcUIkAAAAJ&pagesize=100&citation_for_view=QahcUIkAAAAJ:u_35RYKgDlwC
"(1) A Niang, L Sountoura, K Bukari, I Bellwood-Howard, P Taylor",Collaborative Art-Making for Deliberation in Africa,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=HksiiCIAAAAJ&pagesize=100&citation_for_view=HksiiCIAAAAJ:HDshCWvjkbEC
(1) KN Bukari,"Violent farmer–herder conflicts in Ghana: Constellation of actors, citizenship contestations, land access and politics",2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=HksiiCIAAAAJ&pagesize=100&citation_for_view=HksiiCIAAAAJ:9ZlFYXVOiuMC
"(1) I Boas, C Farbotko, KN Bukari",The bordering and rebordering of climate mobilities: Towards a plurality of relations,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=HksiiCIAAAAJ&pagesize=100&citation_for_view=HksiiCIAAAAJ:_Qo2XoVZTnwC
"(4) KN Bukari, R Ametefe, P Osei-Kufuor, RJ Imoro",Actors and Networks Embedded in Political Vigilante Groups in Ghana,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QahcUIkAAAAJ&pagesize=100&citation_for_view=QahcUIkAAAAJ:pqnbT2bcN3wC
